0,NumPixels,Volume,DeltaX,DeltaY,CentroidX,CentroidY,MaxIntensity,MedianIntensity,Shape,Cluster
ART_00171-5,560,36952,131,86,231.50357142857135,266.50714285714287,72,66.0,0,4
ART_00171-6,21,1370,5,5,319.66666666666663,222.92857142857144,66,65.0,3,4
ART_00171-7,224,41190,2,226,574.9821428571429,86.06696428571432,208,185.0,3,0
ART_00171-8,71,4749,54,26,48.53521126760563,367.26056338028167,74,66.0,0,4
ART_00171-9,42,2740,50,28,6.0238095238095175,399.83333333333337,68,65.0,3,4
ART_00171-10,75,5170,65,3,33.0,432.7933333333333,81,68.0,0,4
ART_00172-0,2695,208451,598,17,105.0567717996289,430.6038961038961,166,70.0,0,4
ART_00172-1,1339,91017,174,143,502.2718446601941,373.3282300224048,78,68.0,2,4
ART_00172-2,16100,1244014,80,758,559.1990062111802,32.314534161490656,220,76.0,3,1
ART_00172-3,6902,602660,51,571,566.6079397276151,45.844537815126046,207,79.0,3,1
ART_00172-4,47,3699,8,8,501.1063829787232,211.4148936170213,105,76.0,3,4
ART_00172-5,266,28578,16,20,424.0827067669173,179.45112781954887,175,102.5,3,2
ART_00172-6,110,7578,19,9,524.6818181818181,26.199999999999992,75,68.0,2,2
ART_00172-7,152,11034,15,32,489.0723684210527,28.842105263157922,89,71.0,2,2
ART_00172-8,32,2220,6,5,367.0625,259.25,77,69.0,3,4
ART_00172-9,186,15943,8,35,333.40860215053766,375.02688172043014,125,82.0,2,4
ART_00172-10,904,65789,324,25,61.74004424778764,427.766592920354,100,70.0,1,4
ART_00172-11,396,32351,70,16,337.3257575757576,429.13888888888886,115,80.0,3,4
ART_00172-12,24,1624,26,2,381.20833333333337,432.70833333333337,72,67.0,0,4
ART_00172-13,275,19113,161,2,274.3963636363636,432.92909090909086,79,69.0,0,4
ART_00172-14,26,1765,22,1,111.61538461538464,433.23076923076934,75,67.0,0,4
ART_00173-0,432,32854,239,4,321.8518518518518,433.57638888888886,107,75.0,3,4
ART_00173-1,6428,523109,46,511,566.1053204729309,145.9807093963908,255,70.0,1,1
ART_00173-2,312,23080,10,185,573.5929487179487,212.78205128205127,95,72.0,3,2
ART_00173-3,1689,124601,9,235,571.5642391947897,115.88425103611608,120,73.0,3,2
ART_00173-4,556,44704,268,14,330.6025179856115,431.5827338129496,145,75.0,0,4
ART_00173-5,20,2975,19,0,358.5,433.5,164,150.0,0,3
ART_00174-0,19886,1584841,407,794,543.6226490998691,69.16936538268129,200,78.0,3,1
ART_00174-1,2456,178422,468,20,208.77768729641696,430.37214983713363,97,72.0,0,4
ART_00174-2,197,14184,46,11,407.20304568527916,429.01269035533,91,71.0,1,4
ART_00174-3,42,2948,26,23,153.0,385.30952380952385,79,70.0,3,4
ART_00174-4,84,6487,47,21,176.03571428571428,344.63095238095235,116,71.0,3,4
ART_00174-5,6856,575184,53,690,566.3370770128354,23.789527421236873,233,75.0,2,1
ART_00174-6,41,2998,35,20,237.51219512195118,338.7926829268293,95,70.0,3,4
ART_00174-7,30,1996,41,25,428.5333333333333,301.5,71,66.0,3,4
ART_00174-8,53,4041,11,22,457.01886792452825,133.16037735849056,108,74.0,3,2
ART_00174-9,74,5675,21,15,504.8918918918919,128.45945945945948,112,72.0,3,2
ART_00174-10,181,43070,1,178,574.9723756906078,113.08563535911604,255,239.0,0,0
ART_00174-11,39,2642,34,38,441.30769230769226,188.11538461538464,75,67.0,3,4
ART_00174-12,239,17155,49,36,493.0041841004184,391.26987447698735,89,70.0,0,4
ART_00174-13,481,33506,113,30,287.70270270270265,429.04054054054046,98,68.0,0,4
ART_00174-14,236,16255,205,2,296.7796610169492,433.13983050847463,80,68.0,0,4
ART_00174-15,36,2422,46,2,7.58333333333337,433.08333333333337,72,67.0,1,4
ART_00174-16,61,4062,73,1,123.52459016393442,433.43442622950823,72,66.0,0,4
ART_00174-17,24,1591,31,0,96.83333333333336,433.5,69,66.0,0,4
ART_00175-0,112,7401,92,20,332.32142857142856,427.08928571428567,71,66.0,3,4
ART_00175-1,2149,152614,635,21,158.07445323406242,427.9550953932061,123,68.0,3,4
ART_00175-2,24536,1794061,146,829,546.1500652103032,46.462667101402026,196,69.0,0,1
ART_00175-3,46685,3506301,234,830,529.1497054728501,24.569037163971306,185,72.0,0,1
ART_00175-4,44,8597,0,44,575.0,2.977272727272748,219,196.0,3,0
ART_00175-5,178,41399,1,179,574.9887640449438,114.81460674157302,255,233.0,0,0
ART_00175-6,963,68782,126,87,255.86500519210801,224.80114226375903,93,70.0,3,4
ART_00175-7,53,3474,18,42,54.64150943396226,175.9716981132076,68,65.0,3,4
ART_00175-8,26,1747,7,14,269.2307692307693,166.8846153846154,70,67.0,2,4
ART_00175-9,50,3300,52,2,150.03999999999996,214.22000000000003,68,66.0,0,4
ART_00175-10,26,1705,22,29,417.0384615384616,256.46153846153845,67,65.0,3,4
ART_00175-11,66,4347,16,21,103.86363636363636,278.74242424242425,69,65.0,3,4
ART_00175-12,677,44705,269,53,55.59231905465288,418.92983751846384,78,65.0,0,4
ART_00175-13,170,11738,68,37,219.6,410.48235294117654,82,67.0,0,4
ART_00175-14,24,1569,39,19,433.0,412.875,67,65.0,2,4
ART_00175-15,51,3320,75,12,338.0392156862745,429.67647058823525,66,65.0,0,4
ART_00176-0,14115,1052567,38,657,563.7725115125752,21.61526744597944,127,74.0,3,1
ART_00176-1,190,13009,16,33,565.8263157894737,199.21052631578945,80,68.0,3,2
ART_00176-2,5059,428642,23,254,564.9144099624432,84.57748566910459,210,78.0,3,1
ART_00176-3,44,3279,6,6,37.04545454545449,331.43181818181813,91,73.0,2,4
ART_00176-4,35,2461,25,7,111.65714285714284,335.5285714285715,81,69.0,3,4
ART_00176-5,29,2129,5,5,182.55172413793102,340.08620689655174,88,72.0,3,4
ART_00176-6,83,6396,26,11,256.33734939759034,345.210843373494,100,74.0,3,4
ART_00176-7,64,4693,9,9,349.46875,355.34375,87,72.0,3,4
ART_00176-8,591,52000,28,27,91.26226734348565,420.9433164128595,137,82.0,3,4
ART_00176-9,263,22440,19,16,18.281368821292745,426.26045627376425,131,80.0,3,4
ART_00176-10,88,6334,9,11,54.795454545454504,428.1022727272728,82,71.0,3,4
ART_00177-0,17622,1555425,1026,776,325.0649188514357,234.6551469753717,255,77.0,3,1
ART_00177-1,23,5855,22,0,259.0,434.5,255,255.0,0,3
ART_00177-2,15901,1263330,90,758,559.9275517263065,49.06053078422741,219,76.0,3,1
ART_00177-3,20,4142,10,14,552.8499999999998,323.25,223,207.5,3,3
