,NumPixels,Volume,DeltaX,DeltaY,CentroidX,CentroidY,MaxIntensity,MedianIntensity,Shape
ART_00275-0,0.00921467213602045,0.02541260969318995,0.041702867072111204,0.08755760368663594,0.9428613960412159,0.7555712817609521,0.9999999999999999,0.9736842105263157,1
ART_00275-1,0.001208806452252145,0.0010662788016507288,0.016507384882710686,0.026497695852534562,0.9771083774670515,0.6625680708208369,0.047619047619047616,0.010526315789473661,1
ART_00275-2,0.00045577948199671046,0.0004257931156630664,0.004344048653344917,0.012672811059907835,0.9030136688918351,0.6105507795753513,0.19047619047619047,0.05789473684210522,2
ART_00275-3,0.028852822860313498,0.03290488304021258,0.028670721112076452,0.2880184331797235,0.9880944431634517,0.23973074785206197,0.35449735449735453,0.06842105263157894,1
ART_00275-4,0.01191962427917484,0.011475690901828988,0.008688097306689834,0.5,0.9949216898546397,0.24633818273268354,0.2698412698412699,0.010526315789473661,0
ART_00275-5,0.000634127974951945,0.000506613677850897,0.008688097306689834,0.04608294930875576,0.9894602323195856,0.6019079068060906,0.021164021164021163,0.005263157894736803,3
ART_00275-6,0.00020807324178110693,0.00011798420531351674,0.01998262380538662,0.027649769585253454,0.8986890531374514,0.848543861202089,0.047619047619047616,0.010526315789473661,0
ART_00276-0,0.009155222638368706,0.010762121322854382,0.004344048653344917,0.26036866359447003,0.9970615989079956,0.23613125711475635,0.5079365079365079,0.02105263157894738,0
ART_00276-1,0.0016645859342488555,0.0016375489292518902,0.0034752389226759338,0.16129032258064516,0.9971841094174625,0.4786912070880754,0.13227513227513227,0.03157894736842104,0
ART_00277-0,0.007490636704119849,0.008405752931955855,0.0034752389226759338,0.2569124423963134,0.9977389223249468,0.2184984628970723,0.455026455026455,0.0421052631578947,0
ART_00277-1,0.0001486237441293621,5.830132862096496e-05,0,0.024193548387096774,0.9982601818900751,0.5168009205983889,0.010582010582010581,0.005263157894736803,3
ART_00278-0,0.012742008996690644,0.01525284332954743,0.6872284969591659,0.009216589861751152,0.09228662465056778,0.9938923894644609,0.5661375661375662,0.06842105263157894,0
ART_00278-1,0.00020807324178110693,0.00048948248176322,0.02258905299739357,0,0.5250296559905101,1,0.6560846560846559,0.5710526315789473,0
ART_00278-2,0.019350811485642945,0.06401099049121908,0.6159860990443092,0.029953917050691243,0.33534327642048856,0.9955897789129838,0.9999999999999999,0.9263157894736842,3
ART_00278-3,0.0006440362245605691,0.0014598818472458216,0.07558644656820156,0,0.18646105179913,0.997698504027618,0.7142857142857143,0.5105263157894737,3
ART_00278-4,0.00018825674256385864,0.00032604534489449595,0.02693310165073849,0,0.3477856860419138,0.9907940161104718,0.455026455026455,0.36315789473684207,0
ART_00278-5,0.0003467887363018449,0.0007015501107518011,0.041702867072111204,0.001152073732718894,0.5379478054567021,0.9899309551208285,0.6137566137566137,0.4394736842105263,0
ART_00278-6,0.0027743098904147593,0.0037010291289740053,0.16507384882710685,0.05069124423963134,0.7408708802452951,0.9622473906284701,0.43386243386243384,0.17368421052631572,0
ART_00278-7,0.0003467887363018449,0.0007367795865772657,0.0069504778453518675,0.009216589861751152,0.8655120601028076,0.8968929804372842,0.5608465608465608,0.4947368421052631,3
ART_00278-8,0.03116144501912292,0.03599443899270224,0.013900955690703735,0.3675115207373272,0.9895533588155179,0.28239793961312953,0.582010582010582,0.05263157894736842,3
ART_00278-9,0.0002774309890414759,0.00020778482996666186,0.0017376194613379669,0.01728110599078341,0.9970475813892183,0.1994281131220141,0.1164021164021164,0.02631578947368418,1
ART_00278-10,0.00023779799060697935,0.00014685856000968187,0.010425716768027801,0.03571428571428571,0.9901010348918067,0.06106900519820644,0.0582010582010582,0.005263157894736803,2
ART_00278-11,0.00021798149138973106,0.00012917474469337022,0.0008688097306689834,0.04723502304147465,0.998131306474525,0.05902910966202106,0.037037037037037035,0.010526315789473661,0
ART_00278-12,0.0035273368606701942,0.0037736985575394736,0.0026064291920069502,0.22004608294930875,0.9968770023954814,0.40155366916473545,0.3492063492063492,0.0421052631578947,0
ART_00278-13,0.0072032974654697495,0.025663913287411595,0.5073848827106864,0.001152073732718894,0.24833440289364675,0.9971734359574159,0.9999999999999999,1,0
ART_00279-0,0.011711551037393733,0.012777109185263799,0.0052128583840139004,0.26036866359447003,0.996054262551038,0.22280788325385387,0.42328042328042326,0.02631578947368418,0
ART_00279-1,0.004121831837187642,0.0046225216927224325,0.0034752389226759338,0.29723502304147464,0.9968757660543868,0.39422548647119443,0.3386243386243386,0.05263157894736842,0
ART_00280-0,0.014713750668806848,0.01484003676575728,0.0069504778453518675,0.27419354838709675,0.9949521921548957,0.2369768537468818,0.2063492063492064,0.0368421052631579,0
ART_00281-0,0.0004656877316053346,0.0008290669977592671,0.017376194613379668,0.002304147465437788,0.40729081120540195,0.9980968398689916,0.5291005291005291,0.37105263157894736,1
ART_00281-1,0.0016150446862057348,0.003361582767785117,0.014769765421372719,0.01728110599078341,0.8790308610593308,0.8760480026302813,0.7248677248677248,0.5421052631578946,3
ART_00281-2,0.001763668430335097,0.0037631987921954136,0.020851433536055602,0.04838709677419355,0.9603169355692546,0.7359064812893408,0.9999999999999999,0.47368421052631576,2
ART_00281-3,0.015179438400412183,0.01790513931737986,0.008688097306689834,0.26036866359447003,0.9946956488854208,0.21915347773710683,0.6243386243386243,0.05263157894736842,0
ART_00281-4,0.014148980441115271,0.015104050602237526,0.013032145960034752,0.46543778801843316,0.993999873622297,0.22920603207157922,0.4656084656084656,0.02105263157894738,2
ART_00281-5,0.0005053207300398312,0.001326976922759167,0.006081668114682884,0.010368663594470046,0.993662091170988,0.17848923228670063,0.7671957671957671,0.6552631578947368,2
ART_00281-6,0.0003765134851277173,0.0008952431503882771,0.0034752389226759338,0.01152073732718894,0.9953469980781078,0.09128375304412989,0.6878306878306878,0.5894736842105264,2
ART_00281-7,0.0035372451102788183,0.00764465809931866,0.010425716768027801,0.04838709677419355,0.9907530109295706,0.562003700195182,0.8201058201058201,0.5894736842105264,2
ART_00281-8,0.008174305927114916,0.020006612089070615,0.02519548218940052,0.06797235023041474,0.9550288461080383,0.7217019978648773,0.8783068783068783,0.6842105263157896,2
ART_00282-0,0.013891365951291045,0.016105396644523675,0.00781928757602085,0.2834101382488479,0.9937950197046176,0.26824859755145036,0.5132275132275131,0.0421052631578947,0
ART_00282-1,0.002179814913897311,0.005759950220059883,0.0008688097306689834,0.2557603686635945,0.9999690699002679,0.2740161104718067,0.8465608465608466,0.6894736842105262,0
ART_00282-2,0.00040623823395358975,0.00029703283539117217,0.0008688097306689834,0.0748847926267281,0.997995426960304,0.006254065142342494,0.042328042328042326,0,0
ART_00282-3,0.005102748548441432,0.005756220040266599,0.009556907037358817,0.29723502304147464,0.9959549228944246,0.42429848632380296,0.4021164021164021,0.05263157894736842,3
ART_00282-4,0.0001486237441293621,9.394526886790562e-05,0.008688097306689834,0.016129032258064516,0.9491973111901937,0.7723820483314154,0.17460317460317454,0.07105263157894737,3
ART_00283-0,0.006301646751084953,0.006589707991854944,0.0026064291920069502,0.26036866359447003,0.9980593292533597,0.2594748208800619,0.28042328042328035,0.02631578947368418,2
ART_00283-1,0.000634127974951945,0.0005625663747501643,0.0008688097306689834,0.07603686635944701,0.9976298130096675,0.5142842847851102,0.13227513227513227,0.02631578947368418,0
ART_00284-0,0.023284386580266728,0.03193351659107987,0.019113814074717635,0.27534562211981567,0.9899858876942541,0.20394332749408128,0.8571428571428571,0.09999999999999998,0
ART_00284-1,0.0011691734538176485,0.0010791271987164864,0.028670721112076452,0.01728110599078341,0.5965743714376646,0.009290184961688564,0.1164021164021164,0.02631578947368418,0
ART_00284-2,0.005350454788657036,0.005803054519893393,0.006081668114682884,0.3122119815668203,0.9964852481852712,0.3788959153725152,0.328042328042328,0.0368421052631579,3
ART_00285-0,0.01232586251312843,0.013075799878340875,0.0052128583840139004,0.26036866359447003,0.9958754191965672,0.19129043165487508,0.31746031746031744,0.0368421052631579,0
ART_00285-1,0.0002774309890414759,0.00018305511948525727,0,0.041474654377880185,0.9982601818900751,0.5016215085259966,0.026455026455026454,0.010526315789473661,0
ART_00285-2,0.00021798149138973106,0.00015431891959625087,0.017376194613379668,0.001152073732718894,0.08350248231624258,0.9971870604781997,0.12698412698412698,0.0421052631578947,0
ART_00286-0,0.013772466955987555,0.01435359368975155,0.017376194613379668,0.25921658986175117,0.994815466750568,0.29792824117038086,0.2592592592592592,0.0368421052631579,0
ART_00286-1,0.009026415393456591,0.011800769163073373,0.014769765421372719,0.1912442396313364,0.9883341017127086,0.46531675720222504,0.7407407407407406,0.05263157894736842,3
ART_00287-0,0.010631551830053702,0.011404264866527949,0.004344048653344917,0.2569124423963134,0.9964558065218972,0.2113661449515469,0.4126984126984127,0.02105263157894738,0
ART_00287-1,0.0006539444741691932,0.0005837040602454431,0.0008688097306689834,0.08640552995391705,0.997892614683753,0.4961020437932543,0.08465608465608465,0.03157894736842104,0
ART_00288-0,0.011959257277609337,0.014939093762490056,0.006081668114682884,0.26152073732718895,0.9960093280976972,0.2816028438286866,0.6984126984126983,0.0368421052631579,0
ART_00288-1,0.0029823831321958666,0.003532065799818934,0.0034752389226759338,0.2119815668202765,0.9967534766641598,0.44828779229374915,0.4126984126984127,0.0789473684210526,0
ART_00289-0,0.018776133008342747,0.02289653434521598,0.012163336229365768,0.2695852534562212,0.9933245926203409,0.1890036945066925,0.5555555555555555,0.06315789473684208,0
ART_00289-1,0.0031805481243683494,0.0029775124038839734,0.0034752389226759338,0.35253456221198154,0.997582399988356,0.23577626070442723,0.12169312169312169,0.010526315789473661,0
ART_00290-0,0.027505300913540615,0.031223539037091387,0.019113814074717635,0.28110599078341014,0.9900340516033428,0.19037493032823008,0.39682539682539686,0.0736842105263158,3
ART_00290-1,0.0001486237441293621,6.396567571447103e-05,0.004344048653344917,0.014976958525345621,0.9952155001977065,0.33337169159953983,0.06878306878306878,0.010526315789473661,0
ART_00290-2,0.011602560291698868,0.011938923970232058,0.011294526498696784,0.4596774193548387,0.994887065146343,0.25853080012212015,0.3756613756613757,0.010526315789473661,3
ART_00290-3,0.0005053207300398312,0.00044043752522188694,0.006081668114682884,0.01152073732718894,0.7110969892108682,0.0584415584415585,0.1111111111111111,0.0368421052631579,3
ART_00290-4,0.0003765134851277173,0.00028390812871109715,0.03040834057341442,0.019585253456221197,0.5057298132362272,0.9942730216501192,0.06878306878306878,0.010526315789473661,1
ART_00291-0,0.0019420169232903315,0.0019696730856613685,0.013900955690703735,0.018433179723502304,0.48303165863053255,0.5249643611631143,0.1957671957671957,0.05789473684210522,3
ART_00291-1,0.016933198581138655,0.029192387062244404,0.018245004344048653,0.2707373271889401,0.9927341785117606,0.2137920570190928,0.9417989417989417,0.18421052631578944,0
ART_00291-2,0.0002774309890414759,0.0001829169646780986,0.0026064291920069502,0.05414746543778802,0.9972584684328457,0.10743801652892564,0.06349206349206349,0.005263157894736803,3
ART_00291-3,0.0034877038622356978,0.00373100872212744,0.0034752389226759338,0.2154377880184332,0.9967981498649282,0.4185853858229139,0.2698412698412699,0.05263157894736842,0
ART_00292-0,0.0011691734538176485,0.002195418040558659,0.011294526498696784,0.01728110599078341,0.8889345382184543,0.8617044168140188,0.7513227513227513,0.3736842105263158,2
ART_00292-1,0.0015853199373798625,0.00211653164567105,0.018245004344048653,0.029953917050691243,0.9364386450507447,0.7945670746591346,0.4444444444444444,0.1894736842105263,3
ART_00292-2,0.0005251372292570794,0.0004644764616674981,0.008688097306689834,0.009216589861751152,0.873203256023234,0.6226737034244673,0.10052910052910052,0.0421052631578947,2
ART_00292-3,0.02826823613340467,0.026947924065144412,0.010425716768027801,0.6566820276497696,0.9932671839412984,0.12355119701143737,0.24338624338624337,0.005263157894736803,0
ART_00292-4,0.02125319541049878,0.025235771540026833,0.009556907037358817,0.2695852534562212,0.9925543877072471,0.19359755934380599,0.6296296296296297,0.06842105263157894,0
ART_00292-5,0.000564770227691576,0.0005563494084280234,0.009556907037358817,0.006912442396313364,0.7712700417097157,0.302609599465459,0.20105820105820105,0.06315789473684208,2
ART_00292-6,0.0005152289796484553,0.0004570161020809291,0.00781928757602085,0.008064516129032258,0.7090535750209845,0.09785395594855949,0.1111111111111111,0.0421052631578947,2
